Path	Name	CompanyName	ProductName	FileVersion	ProductVersion	Category
C:\Program Files\Unity Hub\resources\app.asar.unpacked\node_modules\@unity\hub-win-installer-launcher-win32-x64\UnityHubHelper.exe	UnityHubHelper.exe	Unity Technologies	Unity Hub	1.0.6	1.0.6	Unity-supplied component
C:\Program Files\Unity Hub\resources\cli\unity.exe	unity.exe	unity	unity	1.0.0.0	1.0.0	Unity-supplied component
C:\Program Files\Unity Hub\Uninstall Unity Hub.exe	Uninstall Unity Hub.exe	Unity Technologies Inc.	Unity Hub	3.21.0	3.21.0	Unity-supplied component
C:\Program Files\Unity Hub\Unity Hub.exe	Unity Hub.exe	Unity Technologies Inc.	Unity Hub	3.21.0	3.21.0	Unity-supplied component
C:\Program Files\Unity Hub\UnityLicensingClient_V1\Unity.Licensing.Client.exe	Unity.Licensing.Client.exe	Unity Technologies Inc.	Unity Licensing	1.17.4	1.17.4+4293ba1	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\BugReporter\UnityBugReporter.exe	UnityBugReporter.exe	UnityBugReporter	UnityBugReporter	4.1.5.0	4.1.5+Branch.-GIT-BRANCH-.Sha.be4e4a6c7de54b58baf22c26a65c3674bef55a25.be4e4a6c7de54b58baf22c26a65c3674bef55a25	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\il2cpp\build\deploy\UnityLinker.exe	UnityLinker.exe	UnityLinker	UnityLinker	1.0.0.0	1.0.0+cc024bea8ff4cb2063030e6ece5e26cff8f629fc	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Tools\DevicePortalTool.exe	DevicePortalTool.exe	Unity Technologies	DevicePortalTool	1.0.0.0	1.0.0.0	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win_arm64_player_development_mono\UnityCrashHandler64.exe	UnityCrashHandler64.exe	Unity Technologies	Unity	6000.3.21.12592689	6000.3.21f1_c02631ffc030	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win_arm64_player_development_mono\WindowsPlayer.exe	WindowsPlayer.exe			6000.3.21.12592689	6000.3.21f1 (c02631ffc030)	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win_arm64_player_nondevelopment_mono\UnityCrashHandler64.exe	UnityCrashHandler64.exe	Unity Technologies	Unity	6000.3.21.12592689	6000.3.21f1_c02631ffc030	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win_arm64_player_nondevelopment_mono\WindowsPlayer.exe	WindowsPlayer.exe			6000.3.21.12592689	6000.3.21f1 (c02631ffc030)	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win32_player_development_mono\UnityCrashHandler32.exe	UnityCrashHandler32.exe	Unity Technologies	Unity	6000.3.21.12592689	6000.3.21f1_c02631ffc030	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win32_player_development_mono\WindowsPlayer.exe	WindowsPlayer.exe			6000.3.21.12592689	6000.3.21f1 (c02631ffc030)	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win32_player_nondevelopment_mono\UnityCrashHandler32.exe	UnityCrashHandler32.exe	Unity Technologies	Unity	6000.3.21.12592689	6000.3.21f1_c02631ffc030	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win32_player_nondevelopment_mono\WindowsPlayer.exe	WindowsPlayer.exe			6000.3.21.12592689	6000.3.21f1 (c02631ffc030)	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win64_player_development_mono\UnityCrashHandler64.exe	UnityCrashHandler64.exe	Unity Technologies	Unity	6000.3.21.12592689	6000.3.21f1_c02631ffc030	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win64_player_development_mono\WindowsPlayer.exe	WindowsPlayer.exe			6000.3.21.12592689	6000.3.21f1 (c02631ffc030)	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win64_player_nondevelopment_mono\UnityCrashHandler64.exe	UnityCrashHandler64.exe	Unity Technologies	Unity	6000.3.21.12592689	6000.3.21f1_c02631ffc030	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\PlaybackEngines\windowsstandalonesupport\Variations\win64_player_nondevelopment_mono\WindowsPlayer.exe	WindowsPlayer.exe			6000.3.21.12592689	6000.3.21f1 (c02631ffc030)	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\Resources\Licensing\Client\Unity.Licensing.Client.exe	Unity.Licensing.Client.exe	Unity Technologies Inc.	Unity Licensing	1.18.1	1.18.1+9fbee8e	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\Resources\PackageManager\Diagnostics\bin\UnityPackageManagerDiagnostics.exe	UnityPackageManagerDiagnostics.exe	Node.js	Node.js	20.19.4	20.19.4	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\Resources\PackageManager\Server\UnityPackageManager.exe	UnityPackageManager.exe	Node.js	Node.js	24.15.0	24.15.0	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\Tools\BuildPipeline\Compilation\Unity.ILPP.Runner\Unity.ILPP.Runner.exe	Unity.ILPP.Runner.exe	Unity Technologies ApS	Unity ILPostProcessing Runner	2022.2.0.1	2022.2.0.1	Unity-supplied component
C:\Program Files\Unity\Hub\Editor\6000.3.21f1\Editor\Data\Tools\BuildPipeline\Compilation\Unity.ILPP.Trigger\Unity.ILPP.Trigger.exe	Unity.ILPP.Trigger.exe	Unity Technologies ApS	Unity ILPostProcessing Trigger	2022.2.0.1	2022.2.0.1	Unity-supplied component
